cik,entity_name,taxonomy,tag,fact_end,filed,shares,form,accn
0001100682,"CHARLES RIVER LABORATORIES INTERNATIONAL, INC.",us-gaap,CommonStockSharesOutstanding,2019-12-28,2020-10-29,48936000.0,10-Q,0001100682-20-000033
0001100682,"CHARLES RIVER LABORATORIES INTERNATIONAL, INC.",us-gaap,CommonStockSharesOutstanding,2020-09-26,2020-10-29,49736000.0,10-Q,0001100682-20-000033
0001100682,"CHARLES RIVER LABORATORIES INTERNATIONAL, INC.",dei,EntityCommonStockSharesOutstanding,2020-10-23,2020-10-29,49742626.0,10-Q,0001100682-20-000033
0001108524,"Salesforce, Inc.",us-gaap,CommonStockSharesOutstanding,2020-01-31,2021-03-17,893000000.0,10-K,0001108524-21-000014
0001108524,"Salesforce, Inc.",us-gaap,CommonStockSharesOutstanding,2021-01-31,2021-03-17,919000000.0,10-K,0001108524-21-000014
0001108524,"Salesforce, Inc.",dei,EntityCommonStockSharesOutstanding,2021-03-15,2021-03-17,921000000.0,10-K,0001108524-21-000014
